Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,695.000000,701.650024,644.000000,651.099976,651.099976,308173
2022-01-25,645.150024,679.450012,631.549988,666.500000,666.500000,110530
2022-01-27,662.200012,677.250000,650.700012,658.650024,658.650024,87898
2022-01-28,662.000000,675.000000,654.150024,656.299988,656.299988,118260
2022-01-31,668.400024,718.400024,658.299988,703.250000,703.250000,396368
2022-02-01,710.000000,720.700012,681.650024,695.299988,695.299988,178400
2022-02-02,701.400024,708.950012,683.599976,689.549988,689.549988,75621
2022-02-03,690.799988,705.450012,672.049988,679.000000,679.000000,104600
2022-02-04,679.000000,707.400024,675.049988,682.750000,682.750000,157349
2022-02-07,689.000000,700.900024,632.000000,645.049988,645.049988,406440
2022-02-08,648.400024,659.250000,627.000000,642.349976,642.349976,138205
2022-02-09,645.650024,657.000000,634.950012,642.849976,642.849976,111674
2022-02-10,652.000000,698.799988,643.650024,671.250000,671.250000,451064
2022-02-11,673.000000,686.750000,666.049988,669.599976,669.599976,205332
2022-02-14,662.599976,662.599976,628.849976,633.450012,633.450012,150573
2022-02-15,639.150024,653.000000,627.799988,644.500000,644.500000,103613
2022-02-16,654.000000,654.000000,637.099976,641.150024,641.150024,118240
2022-02-17,642.099976,652.099976,638.000000,643.750000,643.750000,59281
2022-02-18,645.650024,661.849976,642.200012,655.549988,655.549988,109127
2022-02-21,650.000000,674.450012,643.450012,656.250000,656.250000,108417
2022-02-22,625.450012,643.650024,624.400024,630.750000,630.750000,120595
2022-02-23,639.000000,649.099976,630.000000,631.799988,631.799988,63512
2022-02-24,616.000000,648.750000,595.000000,610.950012,610.950012,233667
2022-02-25,613.099976,629.950012,613.099976,619.150024,619.150024,65309
2022-02-28,610.000000,619.000000,538.700012,595.549988,595.549988,328719
2022-03-02,598.000000,607.650024,587.000000,594.950012,594.950012,168811
2022-03-03,599.950012,616.000000,596.750000,608.700012,608.700012,159455
2022-03-04,604.400024,629.799988,603.200012,624.099976,624.099976,120750
2022-03-07,616.200012,641.349976,603.200012,623.000000,623.000000,118537
2022-03-08,624.000000,634.450012,609.000000,612.650024,612.650024,54126
2022-03-09,617.400024,634.000000,617.400024,625.599976,625.599976,408469
2022-03-10,632.150024,665.000000,632.150024,662.700012,662.700012,185368
2022-03-11,668.000000,681.000000,646.049988,674.799988,674.799988,165524
2022-03-14,676.950012,681.950012,666.150024,670.000000,670.000000,114534
2022-03-15,670.099976,685.599976,665.200012,668.400024,668.400024,161143
2022-03-16,673.150024,697.000000,673.150024,681.849976,681.849976,196414
2022-03-17,686.549988,694.900024,677.000000,685.250000,685.250000,124285
2022-03-21,689.000000,692.000000,670.250000,674.599976,674.599976,61066
2022-03-22,675.000000,682.400024,662.250000,670.450012,670.450012,79986
2022-03-23,673.650024,688.099976,660.049988,675.650024,675.650024,85855
2022-03-24,671.000000,679.000000,666.849976,669.000000,669.000000,52389
2022-03-25,671.500000,693.000000,671.500000,679.049988,679.049988,112343
2022-03-28,680.000000,692.349976,670.450012,674.950012,674.950012,104866
2022-03-29,674.000000,682.849976,660.000000,661.950012,661.950012,85221
2022-03-30,668.000000,685.000000,666.200012,671.299988,671.299988,107136
2022-03-31,683.000000,728.400024,675.049988,702.950012,702.950012,455012
2022-04-01,702.000000,719.900024,697.299988,704.900024,704.900024,186664
2022-04-04,710.500000,717.000000,698.000000,705.150024,705.150024,108201
2022-04-05,709.000000,720.000000,701.000000,703.799988,703.799988,196143
2022-04-06,709.000000,741.950012,701.099976,717.150024,717.150024,251388
2022-04-07,720.000000,732.000000,711.500000,721.900024,721.900024,110478
2022-04-08,726.250000,740.000000,710.349976,735.200012,735.200012,267228
2022-04-11,742.500000,779.000000,739.349976,773.650024,773.650024,561511
2022-04-12,790.000000,790.000000,762.099976,769.700012,769.700012,298766
2022-04-13,779.000000,782.450012,757.549988,769.200012,769.200012,120255
2022-04-18,756.150024,788.599976,747.049988,780.349976,780.349976,323129
2022-04-19,783.900024,788.900024,710.099976,755.000000,755.000000,133467
2022-04-20,754.400024,765.950012,726.200012,733.000000,733.000000,111370
2022-04-21,740.000000,750.000000,724.049988,729.150024,729.150024,105408
2022-04-22,728.349976,734.750000,720.000000,723.750000,723.750000,70847
